Time,Event
02:17.476,"General Vezax Mark of the Faceless Bezarag (A: 4607) (U: 5000, M: 393, 7.86%)"
02:18.577,"General Vezax Mark of the Faceless Magìcpìpe 1952 (A: 2898) (U: 5000, M: 150, 3.00%)"
02:18.577,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
02:18.577,"General Vezax Mark of the Faceless Shambby 1952 (A: 2898) (U: 5000, M: 150, 3.00%)"
02:18.577,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
02:18.577,"General Vezax Mark of the Faceless Droob 1982 (A: 2868) (U: 5000, M: 150, 3.00%)"
02:18.577,"General Vezax Mark of the Faceless Boscaiolo 1768 (A: 3082) (U: 5000, M: 150, 3.00%)"
02:18.577,"General Vezax Mark of the Faceless Bezarag 1526 (A: 3081) (U: 5000, M: 393, 7.86%)"
02:18.577,"General Vezax Mark of the Faceless Onkos 1952 (A: 2898) (U: 5000, M: 150, 3.00%)"
02:24.885,General Vezax's Mark of the Faceless  fades from Ratherbebelf
02:35.755,Dellbelphine is afflicted by  Mark of the Faceless  from General Vezax
02:38.174,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
02:38.174,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
02:38.174,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
02:38.174,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
02:38.174,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
02:38.174,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
02:39.450,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
02:39.450,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
02:39.450,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
02:39.450,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
02:45.760,General Vezax's Mark of the Faceless  fades from Dellbelphine
02:57.193,Padparadcha is afflicted by  Mark of the Faceless  from General Vezax
03:07.189,General Vezax's Mark of the Faceless  fades from Padparadcha
03:17.909,Shindolshot is afflicted by  Mark of the Faceless  from General Vezax
03:20.254,"General Vezax Mark of the Faceless Pestie (A: 4850) (U: 5000, M: 150, 3.00%)"
03:20.254,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
03:20.255,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
03:20.255,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
03:20.255,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:20.255,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
03:27.896,General Vezax's Mark of the Faceless  fades from Shindolshot
00:16.626,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
00:19.193,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:19.193,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
00:19.193,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
